product,measure,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь
Дыни,1 кг,21.70,24.11,9.81,0.00,0.00,40.00,19.84,8.86,9.47,12.88,16.19,31.36,33.29,0.00,0.00,0.00,0.00,0.00,20.94,8.36,11.02,14.51,21.63,10.96,12.44,14.27,11.00,0.00,0.00,0.00,33.87,13.47,12.17,21.63,28.40,28.87,28.87,15.00,0.00,0.00,0.00,0.00,32.82,16.02,21.16,25.61,26.02,26.76,16.59,17.30,25.00,0.00,0.00,0.00,48.92,21.93,18.17,18.56,14.86,20.59,21.43,22.86,0.00,0.00,0.00,0.00,36.85,21.92,23.11,28.69,14.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.25,33.72,31.43,38.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.59,26.45,33.07,38.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,39.48,39.23,36.55,42.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.24,30.74,32.56,42.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.44,26.39,28.86,32.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.21,29.33,26.86,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.29,23.44,25.59,28.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.22,27.40,23.15,27.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.92,26.44,26.12,30.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.47,35.10,35.53,39.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.44,31.34,39.09,44.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.97,50.67,43.78,49.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.08,47.75,47.74,51.55,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
Aрбузы,1 кг,10.00,0.00,0.00,0.00,0.00,12.80,6.41,3.28,4.28,6.79,9.03,6.50,0.00,0.00,0.00,0.00,0.00,13.76,5.38,3.47,5.48,6.41,6.59,7.18,7.53,8.22,6.75,6.75,6.75,13.48,8.44,5.62,5.67,9.16,6.94,7.23,7.23,0.00,0.00,0.00,0.00,15.47,9.66,4.50,5.36,9.21,10.35,11.09,16.21,25.00,25.00,0.00,0.00,12.70,8.02,5.70,7.13,7.07,6.78,4.50,0.00,0.00,0.00,0.00,0.00,14.26,7.77,5.67,6.23,12.61,12.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.96,6.95,6.99,9.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.26,6.18,10.44,15.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,12.75,15.15,14.96,17.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.60,10.97,9.78,17.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.83,8.53,9.40,11.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,9.30,11.39,19.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.35,8.45,8.60,11.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.04,15.30,10.57,11.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,11.71,11.29,15.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.47,14.56,18.95,21.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.32,12.29,14.21,20.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.63,16.36,17.19,20.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.26,18.84,15.43,17.43,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
Виноград сушеный,1 кг,97.49,98.98,99.09,96.15,100.71,100.98,101.74,102.05,102.05,101.80,101.19,104.90,105.52,105.67,106.06,106.38,117.13,117.14,119.30,119.72,119.22,118.39,118.39,118.41,118.79,118.97,110.79,93.56,93.63,96.10,96.56,96.66,96.80,103.99,106.61,107.15,103.85,106.69,109.20,109.73,111.10,112.48,113.90,114.41,114.56,114.90,116.36,120.97,122.43,122.36,122.17,122.26,122.32,122.32,121.09,120.00,120.44,120.61,120.33,121.97,130.89,142.80,145.10,156.95,155.52,164.48,169.20,171.07,173.82,177.30,187.73,192.73,194.67,203.90,213.06,216.04,209.33,201.53,201.74,202.02,199.04,200.07,212.16,214.57,216.72,218.79,221.64,225.75,225.05,221.96,221.71,233.79,235.29,249.78,251.53,237.96,242.22,243.14,245.04,245.66,250.79,252.11,251.61,250.91,229.64,229.36,229.48,230.20,229.90,235.57,236.16,238.49,239.67,245.12,247.12,246.11,246.49,248.60,249.80,252.75,253.54,268.73,270.48,272.30,273.62,274.61,275.48,273.63,276.82,277.17,288.10,294.10,306.22,306.45,306.87,307.29,306.73,306.79,307.32,305.28,303.79,303.39,312.29,316.32,311.33,312.03,312.62,312.12,312.40,309.64,309.57,286.94,284.85,281.86,284.50,289.68,296.01,296.18,296.81,295.14,291.84,290.41,290.70,292.27,293.46,293.79,293.79,294.06,294.53,295.54,293.88,294.76,295.08,279.24,277.15,274.68,276.45,278.32,277.73,277.77,278.45,278.30,278.90,279.13,282.24,282.56,283.06,279.68,279.52,279.49,282.13,283.72,284.51,284.25,284.15,285.43,283.24,281.53,286.71,290.50,295.76,299.30,302.04,310.00,314.87,314.13,327.85,340.99,342.69,341.54,341.54,341.80,342.98,344.11,344.32,347.43,350.22,351.80,357.38,358.05,355.37,361.62,360.52,361.46,362.59,364.76,365.09,365.95,366.32,366.62,377.34,378.11,,,,,,,,
Яблоки сушеные,1 кг,30.61,31.18,31.56,31.55,31.28,32.62,32.74,33.21,34.76,38.81,39.06,39.62,43.30,43.44,43.44,43.92,44.05,44.30,44.98,45.03,44.71,44.38,40.62,33.23,40.89,34.20,32.67,29.63,29.74,29.87,29.84,29.77,29.76,30.65,30.88,34.12,35.01,36.36,37.34,37.95,38.35,39.85,42.33,42.24,43.00,43.70,45.78,52.21,51.01,49.61,47.81,46.38,46.38,46.38,47.70,47.67,46.91,46.44,46.41,44.98,43.86,44.86,44.86,44.40,43.75,46.18,50.77,54.96,55.95,57.54,57.03,58.85,61.47,76.00,80.54,81.65,83.37,87.61,92.46,88.78,88.13,86.19,86.43,87.93,84.28,83.79,84.04,82.77,81.40,81.61,81.09,79.46,79.77,80.50,84.90,84.72,83.31,83.27,83.26,83.44,83.11,82.15,81.38,81.09,81.39,81.39,81.50,81.72,82.38,82.91,82.82,85.21,85.67,90.14,89.48,90.68,89.66,91.92,91.43,93.92,99.96,100.81,100.69,101.94,105.06,104.17,104.93,120.18,119.56,116.06,116.51,117.81,116.52,115.20,114.99,114.99,115.45,113.50,113.87,114.02,110.52,100.25,99.81,99.04,101.70,100.89,100.99,103.11,100.50,98.94,100.34,99.59,98.75,97.22,99.93,100.12,100.27,101.74,102.18,102.36,105.12,104.37,105.85,106.11,101.91,102.70,104.86,105.19,105.24,105.00,107.70,106.77,106.41,106.74,105.28,105.67,105.07,106.95,104.50,104.96,104.48,104.57,105.41,107.24,106.10,106.40,106.64,105.94,105.36,105.54,104.37,105.39,105.37,105.71,109.82,113.85,113.26,120.29,116.03,114.97,115.31,115.43,116.19,119.60,123.27,123.27,123.46,124.53,121.32,124.36,124.01,124.76,126.30,131.41,131.67,132.97,132.11,132.43,131.52,131.53,136.71,133.69,137.08,137.08,137.10,137.10,136.82,136.90,137.35,137.35,141.57,142.84,,,,,,,,
Курага,1 кг,139.99,141.68,141.88,140.07,140.59,140.82,141.59,142.57,142.86,142.59,141.46,145.92,145.31,145.70,146.04,146.02,143.40,143.20,140.30,138.26,137.57,135.37,135.88,136.84,137.37,136.70,121.47,94.29,96.06,97.62,97.75,98.56,99.48,108.35,113.08,117.39,126.83,137.52,140.41,140.17,139.70,141.68,142.88,142.62,143.99,144.91,145.25,145.96,146.85,146.39,139.62,137.79,137.70,137.67,137.64,137.35,137.25,137.40,138.16,140.53,145.06,152.50,154.27,154.94,154.71,163.38,170.42,170.37,168.84,171.10,180.26,193.11,197.85,205.64,213.48,210.01,212.69,212.42,212.86,213.73,208.59,209.44,222.65,227.90,229.67,230.64,232.86,235.50,235.21,233.63,233.27,239.51,241.23,243.82,245.22,245.29,246.84,246.00,246.07,247.15,250.15,254.04,253.59,252.73,223.56,222.78,223.36,223.51,222.77,227.46,226.74,230.28,231.44,229.41,229.81,228.01,226.75,229.25,233.45,240.96,243.75,244.14,245.52,252.17,267.07,268.97,277.75,294.32,301.68,308.76,349.38,363.99,369.53,374.33,371.94,372.22,373.98,372.46,368.28,348.81,316.90,301.24,294.30,300.97,287.17,285.02,284.91,283.62,280.18,275.73,277.77,275.32,270.25,268.95,271.54,274.51,276.23,277.49,277.44,277.08,274.03,272.97,272.28,273.14,272.10,270.40,272.09,273.15,272.66,273.25,272.41,270.30,270.55,269.79,269.67,269.18,264.01,268.72,267.99,267.76,268.12,268.44,267.72,268.55,269.26,269.61,269.93,269.37,271.26,270.58,271.89,271.69,271.37,271.48,270.29,273.92,274.29,270.05,277.21,279.53,298.30,302.24,307.39,320.00,331.11,333.69,343.58,351.71,361.38,367.83,374.92,382.76,416.48,438.30,441.07,470.59,480.00,481.34,481.31,483.27,483.48,476.26,477.42,475.26,476.09,475.34,474.21,474.12,477.75,478.15,475.14,473.48,,,,,,,,
Орехи грецкие,1 кг,52.10,53.97,54.94,65.92,66.70,80.58,81.40,81.43,82.52,82.34,81.84,83.34,85.11,85.28,90.33,92.37,92.93,92.17,94.14,94.10,95.00,90.06,90.30,91.29,85.23,84.23,78.20,79.00,79.10,79.85,80.42,79.99,80.03,85.75,87.33,86.96,87.04,97.37,103.83,102.46,101.06,101.36,104.92,105.91,106.74,107.79,107.92,118.94,119.25,118.85,117.11,116.69,118.11,116.85,115.69,114.51,112.69,112.19,112.71,111.90,111.03,113.15,113.44,115.07,113.45,114.15,122.19,130.00,129.51,130.92,132.90,140.24,143.24,144.01,145.53,147.49,150.53,154.37,153.85,153.96,150.49,164.60,164.65,165.25,163.85,163.33,163.06,151.21,148.68,148.68,146.09,146.53,146.41,142.83,142.54,143.04,140.58,139.57,141.32,141.69,144.13,144.22,143.95,143.57,139.15,137.25,137.73,137.65,136.34,139.52,144.25,145.50,148.53,162.84,163.34,164.01,161.92,161.73,161.16,155.48,156.88,160.37,161.50,166.49,170.70,171.88,173.74,175.43,173.50,175.07,204.05,215.49,218.03,217.94,218.82,219.56,221.93,222.45,218.19,217.25,213.01,201.72,200.90,200.02,190.83,190.58,191.49,187.24,186.36,184.01,182.98,180.53,181.16,174.80,174.38,175.49,177.15,177.93,177.95,178.29,179.47,179.33,180.68,180.75,177.69,174.66,172.08,172.02,171.79,169.54,169.88,170.09,171.10,172.31,172.39,172.62,173.83,169.14,167.37,168.59,168.93,169.73,171.02,173.80,174.83,174.44,172.78,172.90,173.29,173.35,175.07,179.86,185.48,184.02,186.98,188.33,190.12,192.27,195.48,200.69,201.10,205.43,209.27,212.65,223.03,223.26,224.12,224.81,223.85,224.75,225.03,230.65,226.83,221.88,223.83,223.72,220.44,221.19,222.33,228.44,229.08,229.23,229.50,229.59,223.32,222.69,213.02,210.60,209.01,190.87,184.55,177.86,,,,,,,,
Капуста свежая,1 кг,7.12,7.34,9.03,10.60,13.49,15.73,8.36,7.60,6.34,5.50,6.61,6.51,8.50,11.45,9.66,9.78,12.09,7.55,6.71,6.83,6.51,6.87,6.88,9.56,12.61,13.14,14.59,16.03,17.11,15.63,15.74,11.65,11.93,13.42,14.83,15.09,17.73,26.07,29.92,33.94,30.88,18.92,10.90,8.22,10.63,13.86,16.11,13.98,14.33,14.12,13.48,13.14,13.94,13.76,9.43,8.86,11.10,11.62,11.33,11.75,12.47,13.26,15.60,16.34,21.36,21.96,17.94,15.62,13.77,11.48,13.18,16.02,27.89,34.62,37.68,52.63,36.01,18.18,10.26,10.14,14.19,14.42,14.03,15.95,17.53,17.54,16.29,15.36,18.94,22.43,20.07,24.74,32.75,28.01,25.28,28.98,30.37,29.49,26.68,43.44,28.05,21.47,15.16,15.17,14.33,14.68,15.49,16.27,18.59,21.76,26.44,36.97,36.04,32.15,24.23,17.29,17.09,19.54,21.05,25.87,30.99,32.41,33.66,41.97,33.14,17.13,14.35,15.90,18.07,19.52,18.89,21.82,23.16,23.25,23.97,25.80,22.26,17.51,16.63,17.18,18.54,19.34,20.07,22.21,22.85,24.59,32.21,46.97,40.93,44.50,37.75,19.18,16.13,17.69,18.08,20.46,23.61,25.98,26.61,25.13,24.78,32.46,20.25,18.80,21.44,21.85,24.00,26.28,29.41,31.74,38.17,41.06,36.20,22.47,14.92,18.76,28.90,27.79,25.24,27.08,27.57,29.03,30.04,33.09,22.47,15.49,14.85,15.50,15.89,16.22,17.98,21.91,24.37,25.90,26.53,27.26,28.20,23.59,24.85,26.19,30.50,35.00,36.48,44.38,59.62,66.12,67.12,72.19,65.20,37.25,28.50,25.99,27.34,29.87,30.94,32.05,34.96,41.55,40.19,41.80,39.99,36.96,45.91,57.47,55.23,45.63,41.06,41.82,41.92,42.56,44.79,42.32,,,,,,,,
Лук репчатый,1 кг,6.43,6.51,6.64,7.21,11.69,9.00,7.09,6.48,6.16,5.99,6.02,6.97,8.18,11.46,10.55,10.29,14.39,11.04,14.84,12.71,10.89,10.21,10.41,10.20,10.79,10.86,10.67,12.08,16.28,17.12,15.54,11.41,10.28,10.42,10.66,10.51,11.96,14.09,15.94,15.99,16.15,18.63,17.43,13.26,15.95,19.01,23.90,24.27,23.21,22.11,22.41,29.52,29.78,22.60,17.37,14.80,13.70,13.03,11.91,11.54,11.34,12.28,14.58,14.92,18.38,20.06,16.83,14.73,14.62,17.21,19.67,20.13,24.92,28.95,26.84,26.23,32.66,29.05,25.10,19.57,17.37,17.68,17.47,18.01,17.61,16.73,16.43,15.02,16.78,23.20,22.43,22.12,20.58,16.63,15.37,19.13,21.12,21.14,19.93,19.59,22.86,23.62,23.60,19.81,20.29,18.97,18.72,19.20,19.45,21.02,23.12,27.83,33.98,32.13,25.67,26.22,23.92,27.91,31.61,31.67,32.20,31.77,31.96,38.63,31.51,24.51,23.22,23.22,22.37,20.46,18.13,18.85,18.55,17.55,15.85,14.26,14.99,15.80,16.38,16.07,15.14,14.76,15.54,16.34,18.08,20.07,22.18,24.43,25.63,29.16,33.27,32.12,27.04,25.66,23.37,23.50,24.12,25.10,24.56,23.01,20.05,19.17,18.11,17.92,18.17,17.59,18.34,19.04,19.57,19.23,19.63,20.42,26.15,30.04,29.40,26.17,23.33,20.75,19.33,20.75,21.17,21.56,22.53,28.81,26.87,22.19,19.79,18.81,19.06,19.79,21.01,23.00,23.81,24.77,25.48,25.86,26.70,25.95,25.18,25.05,25.44,25.46,25.42,25.36,25.62,25.63,28.85,35.42,37.47,39.90,45.05,46.93,34.85,32.17,32.81,34.10,43.15,57.65,51.59,56.86,59.69,48.66,42.98,40.66,36.71,33.44,32.21,31.47,31.10,31.02,30.30,27.43,,,,,,,,
Свекла,1 кг,9.63,9.55,10.29,17.63,27.87,29.59,19.35,11.17,9.41,10.17,10.18,11.52,12.19,12.98,11.65,11.24,12.37,15.76,14.30,12.79,11.75,11.40,11.30,11.39,12.41,12.11,11.00,11.04,12.12,19.19,19.46,14.55,13.39,15.23,17.23,18.25,21.46,24.25,26.75,28.88,33.30,35.92,31.61,25.03,26.60,27.85,26.75,25.47,25.15,24.88,23.49,19.92,18.32,17.15,17.02,20.11,22.13,22.16,21.41,19.44,17.94,18.42,19.38,17.42,17.96,22.73,29.54,24.94,22.66,22.42,23.37,24.42,33.14,39.70,42.85,56.78,66.41,62.25,28.37,23.17,26.72,25.93,24.14,26.10,26.51,26.35,25.94,24.26,26.57,32.75,33.43,29.04,31.54,31.59,33.22,37.87,43.27,44.78,45.13,44.43,47.66,47.46,37.33,31.36,31.86,31.84,31.28,31.31,31.70,31.64,32.18,32.78,38.83,50.49,42.31,30.78,32.10,42.33,44.31,41.66,43.51,41.73,42.29,42.43,42.93,43.74,40.18,35.10,35.56,28.99,27.35,29.40,28.45,27.00,26.07,26.08,27.15,26.35,26.07,25.38,24.97,25.91,27.13,32.69,33.75,34.26,35.25,36.83,38.57,41.14,40.25,37.80,36.28,35.56,33.28,32.15,32.65,34.76,35.15,34.30,33.37,42.69,40.69,41.64,42.52,42.69,40.62,37.98,38.02,36.88,35.29,33.63,34.40,34.60,31.14,29.40,29.82,29.12,30.66,33.07,34.33,35.35,35.93,34.67,31.73,31.28,30.27,30.68,30.31,30.97,30.97,32.07,32.51,33.54,34.94,42.53,61.59,79.87,68.29,49.23,42.80,40.35,42.32,43.63,44.30,44.29,44.84,51.72,51.54,48.41,45.98,46.06,46.25,44.49,45.51,45.45,47.19,51.27,50.06,48.99,47.89,49.74,51.21,53.83,51.54,49.43,48.70,48.54,48.49,49.84,52.06,53.10,,,,,,,,
Морковь,1 кг,7.37,6.89,6.77,8.87,13.83,15.60,12.06,9.54,7.56,6.87,6.73,6.42,7.49,9.09,8.71,8.41,9.99,15.16,13.25,9.74,10.59,9.31,9.00,9.37,10.19,10.02,9.41,9.69,12.68,16.91,17.44,11.74,11.68,12.02,12.30,11.76,13.38,15.57,16.81,17.78,20.59,22.00,22.16,17.75,19.44,19.91,19.34,15.16,15.58,15.35,14.17,12.86,13.42,14.05,12.76,12.12,11.87,10.59,10.50,11.01,10.98,12.14,15.11,14.82,16.16,19.17,26.63,24.45,19.86,18.09,17.51,18.67,24.24,24.19,24.82,26.18,26.44,31.61,27.93,18.43,17.46,17.30,17.53,17.73,16.81,15.54,15.22,14.65,17.77,20.81,23.52,27.86,26.08,20.90,19.38,23.46,24.42,24.12,21.96,21.79,24.25,25.15,27.58,27.90,24.23,22.77,22.20,22.47,22.12,22.27,22.95,24.16,27.96,35.59,37.76,31.44,27.13,27.82,28.77,26.59,26.48,24.93,24.51,26.96,28.99,29.21,27.68,27.92,27.72,23.29,20.44,22.79,21.35,20.47,19.99,20.81,23.00,24.07,23.32,21.61,19.51,18.99,19.37,20.32,21.49,22.23,24.10,26.04,26.75,31.19,33.74,32.89,31.80,30.04,26.84,25.71,26.05,27.08,26.76,26.17,25.69,25.39,23.53,23.06,24.61,24.92,25.63,26.69,27.13,27.37,28.21,27.15,28.53,29.67,28.65,27.95,27.56,26.46,26.25,27.74,27.97,28.29,27.69,28.28,24.96,23.05,22.17,22.34,22.06,23.37,24.48,25.72,27.30,28.12,29.44,31.57,42.34,79.67,77.04,52.52,42.07,40.90,39.34,36.93,38.55,38.92,40.15,48.93,49.75,43.44,38.08,35.90,34.94,33.58,34.23,34.98,36.20,39.00,38.93,38.62,39.53,41.95,45.08,46.43,47.33,42.73,40.60,40.13,40.39,40.99,41.58,41.19,,,,,,,,
Огурцы свежие,1 кг,85.44,74.23,77.17,53.96,23.13,16.40,9.89,8.17,8.12,14.44,39.52,45.59,72.41,63.29,82.81,52.45,26.85,14.73,7.54,6.59,13.53,18.25,29.86,82.33,115.21,87.08,93.08,68.64,44.14,32.05,24.44,17.47,17.12,34.43,53.54,68.92,96.92,106.18,118.24,95.67,25.11,16.74,10.03,10.48,13.51,26.75,40.55,70.56,116.21,109.23,104.87,92.29,42.96,31.31,21.73,15.16,23.70,29.87,51.82,85.64,101.90,107.93,109.58,75.06,43.86,24.89,16.46,17.28,29.30,45.57,67.06,92.35,145.40,137.86,139.39,105.72,51.25,17.20,21.60,21.62,25.87,44.58,89.69,157.66,168.67,136.13,134.79,109.20,72.95,26.49,17.79,17.88,29.44,59.16,91.76,110.72,161.50,176.26,201.72,156.42,65.43,30.59,28.21,24.45,29.63,46.23,91.00,101.18,116.47,132.07,162.04,156.38,74.87,30.18,18.99,20.56,31.68,72.77,90.22,129.29,145.31,133.47,153.38,141.37,82.17,24.35,19.98,19.37,25.13,67.75,118.51,148.36,164.61,151.88,143.13,112.78,76.71,53.54,47.64,31.04,25.41,52.56,79.69,119.81,134.99,169.41,163.31,138.24,72.28,23.91,18.99,34.00,50.04,60.24,87.35,126.07,127.75,150.24,160.13,123.52,66.23,41.99,29.88,25.39,33.03,44.44,89.14,128.63,148.07,159.09,152.94,95.15,45.30,27.43,23.36,26.46,39.61,55.64,78.28,111.37,147.15,161.82,153.50,106.36,64.81,34.18,24.05,25.99,32.34,54.29,124.39,156.45,170.43,170.65,171.56,146.76,82.39,28.71,26.42,30.84,37.10,81.54,105.07,146.23,148.92,155.30,161.90,138.19,83.92,50.24,56.75,47.51,53.04,79.20,159.98,205.70,247.76,263.41,238.13,172.18,86.27,45.87,36.65,45.62,53.25,75.49,156.71,202.46,215.92,243.16,235.57,188.42,,,,,,,,
Тыква,1 кг,7.39,7.83,9.67,11.36,12.00,12.17,12.00,11.27,11.27,9.51,9.49,8.32,8.62,8.91,12.70,15.22,26.02,0.00,35.63,35.63,13.87,13.74,11.07,11.04,10.71,10.97,17.18,19.28,21.68,24.86,26.27,26.45,24.05,21.59,21.49,19.62,18.49,19.14,21.67,23.68,21.17,18.00,18.05,10.09,13.67,16.72,19.47,19.38,18.36,16.65,14.14,12.73,13.11,13.12,12.94,12.94,12.15,13.90,14.22,14.44,14.65,15.92,17.70,23.69,29.55,43.39,53.93,54.50,25.92,18.54,18.50,19.62,23.28,23.66,25.27,0.00,0.00,0.00,0.00,0.00,0.00,17.16,17.89,19.93,20.85,21.34,22.53,0.00,0.00,0.00,0.00,0.00,0.00,22.46,18.84,24.05,34.37,32.44,33.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.94,34.41,28.64,28.40,31.52,0.00,0.00,0.00,0.00,0.00,0.00,31.22,33.06,28.70,33.77,34.64,47.25,0.00,0.00,0.00,0.00,0.00,0.00,23.89,22.48,25.65,24.78,24.21,25.13,0.00,0.00,0.00,0.00,0.00,0.00,24.17,25.08,27.75,30.98,33.25,35.69,0.00,0.00,0.00,0.00,0.00,32.45,34.17,31.21,27.01,28.43,34.91,36.53,0.00,0.00,0.00,0.00,0.00,23.94,35.99,28.39,28.11,29.67,31.67,33.84,0.00,0.00,0.00,0.00,0.00,28.56,29.56,28.87,31.23,32.47,32.79,33.43,0.00,0.00,0.00,0.00,0.00,29.60,31.29,30.59,32.84,33.73,36.14,42.14,0.00,0.00,0.00,0.00,0.00,31.65,38.57,34.59,34.86,35.25,37.38,40.87,0.00,0.00,0.00,0.00,0.00,30.80,38.85,37.94,39.06,39.99,44.96,41.96,0.00,0.00,0.00,0.00,0.00,44.16,41.40,46.64,47.88,49.10,51.14,64.11,0.00,,,,,,,,
Лук зеленый,1 кг,25.32,25.68,27.93,22.72,19.76,13.40,13.44,15.27,15.03,16.20,19.02,31.15,39.62,40.55,28.46,24.53,20.14,17.80,16.63,17.29,19.10,25.99,26.15,59.62,71.62,50.69,47.21,41.02,26.23,26.32,25.38,26.53,28.88,30.39,33.74,36.07,45.18,53.23,51.61,39.30,38.22,40.10,40.79,31.56,52.22,62.09,66.25,68.71,71.93,72.96,71.13,69.59,59.22,35.58,43.17,48.87,52.28,51.89,55.56,59.32,68.59,96.57,90.82,69.65,63.01,56.42,42.88,48.43,62.83,67.23,71.78,88.81,116.83,117.22,98.30,74.38,60.59,64.84,81.56,85.61,90.88,94.08,107.44,127.14,148.58,152.48,149.68,145.48,118.46,89.23,77.92,78.13,99.43,113.88,126.74,130.45,141.36,142.82,131.05,119.08,105.62,97.54,81.63,83.00,92.12,102.40,117.65,123.85,141.43,157.20,170.31,144.92,122.59,100.07,86.89,103.71,120.92,133.48,138.36,165.55,184.30,155.07,140.68,118.83,92.87,70.81,77.19,121.16,111.51,113.66,113.57,134.33,139.24,130.51,122.98,89.41,75.12,69.88,76.87,76.34,79.81,105.34,123.17,147.44,158.57,166.11,172.86,146.49,110.99,96.54,93.40,99.39,104.42,119.99,124.09,130.34,133.48,140.25,151.16,145.47,101.26,93.66,91.61,92.00,100.94,107.99,120.15,127.44,127.47,125.02,124.94,110.75,95.47,85.80,84.77,87.91,95.02,102.47,116.66,135.30,136.45,138.40,138.31,135.48,118.00,105.08,99.90,101.26,103.77,113.80,120.96,132.87,179.84,184.24,164.58,124.10,105.40,109.13,116.27,119.06,120.31,122.67,126.09,143.96,148.00,149.61,150.28,139.72,126.38,121.59,126.75,128.53,137.60,140.64,150.41,175.60,225.54,302.84,235.37,197.48,193.59,180.34,178.28,185.23,187.00,184.99,184.44,188.51,197.83,203.63,207.27,183.31,,,,,,,,
